,True Treat,Stir The Pot,Tudor Fisk,Major Ando,Black Book,Slingshot Cooper,Copperhead,Mrs Chop
11-01-2023 14:31:55.519765,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:56.581918,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:57.574040,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:58.577952,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:31:59.581485,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:00.598491,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:01.659001,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.5875)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:02.809777,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:03.918582,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:05.002374,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:06.035565,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
