,Opawa Hugo,Zipping Chassis,Opawa Duchess,Diamond Leaha,Silky Adobe,Goldstar Walker,Nighthawk Jet,Lets Party
10-01-2023 09:59:11.713038,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:12.743975,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:13.777808,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:14.787536,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:15.823943,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:16.826584,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:17.836659,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:18.852203,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:19.870975,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:20.851315,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:21.914966,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:22.920234,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:23.964047,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:25.019931,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:26.059505,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:27.096009,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
