,Hooked On Henry,Rosdue Tyson,Fine And Fabio,Rebel Prince,Specified,Tuta Yankee,Alvey,Kelso Queen
09-01-2023 12:22:50.328902,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:51.536110,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:52.781437,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:53.927198,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:55.092228,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:56.264530,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:57.433359,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:58.541983,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:22:59.581322,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:00.699362,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:01.767298,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:02.896087,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:04.069554,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:05.220176,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:06.412329,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:07.668873,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:08.819729,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:09.972576,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:11.142445,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:12.233820,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:13.355909,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:14.676570,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:15.905270,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:17.085943,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:18.458293,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:19.656994,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:20.929431,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:22.150881,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:23.375598,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:24.547133,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:25.703432,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:26.880641,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:27.999089,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:29.055477,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:30.166706,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:31.187147,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:32.296467,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:33.368686,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:34.511015,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:35.616278,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:36.723748,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:37.883935,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:39.017773,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:40.172983,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:41.325873,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:42.474436,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:43.615870,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:44.740815,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:45.729965,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:46.736317,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:47.782354,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
