,Kamendable Feeling,Safe Jewels,Little Wednesday,Isabella Princess,Double Happiness,I Want It All Nz,Calypso Mistress
14-12-2022 12:54:02.541164,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:03.678837,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:04.696407,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:05.811755,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:06.923626,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:07.982613,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:08.977168,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:09.939491,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:10.895062,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 4.1, 3.7399999999999998)","(26.0, 99999, 99990)","(3.5, 5.4, 4.9)"
14-12-2022 12:54:11.840836,"(4.6, 7.0, 6.5600000000000005)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.4, 3.9000000000000004)","(2.9, 3.95, 3.3083333333333336)","(26.0, 99999, 99990)","(3.5, 5.4, 5.2)"
14-12-2022 12:54:12.792652,"(4.6, 7.0, 6.3125)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.475)","(2.9, 3.95, 3.286842105263158)","(26.0, 99999, 99990)","(3.5, 5.4, 5.2)"
14-12-2022 12:54:13.862624,"(4.6, 6.8, 6.266666666666667)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.766666666666667)"
14-12-2022 12:54:15.160529,"(4.6, 6.8, 6.444444444444445)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.766666666666667)"
14-12-2022 12:54:16.241420,"(4.6, 6.8, 6.3428571428571425)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.133333333333334)"
14-12-2022 12:54:17.183229,"(4.6, 6.8, 6.4)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.133333333333334)"
14-12-2022 12:54:18.197300,"(4.6, 6.8, 6.4)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.133333333333334)"
14-12-2022 12:54:19.118669,"(4.6, 6.8, 6.4)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.133333333333334)"
14-12-2022 12:54:20.069626,"(4.6, 6.8, 6.4)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.2, 3.8)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.133333333333334)"
14-12-2022 12:54:21.129508,"(4.6, 6.8, 6.4)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.828571428571429)"
14-12-2022 12:54:22.110863,"(4.6, 6.8, 6.133333333333333)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.938461538461539)"
14-12-2022 12:54:23.104584,"(4.6, 6.8, 6.221052631578948)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.938461538461539)"
14-12-2022 12:54:24.128284,"(4.6, 6.8, 6.221052631578948)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 4.938461538461539)"
14-12-2022 12:54:25.124670,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
