,Big Option,Deminaur,Dennis Choux,Goats On Oats,Greenhill Prince,Gungho,King Of Hampton,One Star Dream,Belthil,Lord Porchester,Mirroring,Scarlet Desire,Dollar Bucks
16-12-2022 13:02:41.909855,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.450980392156865)","(19.0, 40.0, 38.73684210526316)","(51.0, 160.0, 112.5)","(101.0, 790.0, 383.33333333333337)","(91.0, 220.0, 175.0)","(101.0, 790.0, 383.33333333333337)","(1.8, 1.99, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 26.363636363636363)","(101.0, 630.0, 405.0)"
16-12-2022 13:02:43.551904,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.46153846153846)","(19.0, 40.0, 38.15384615384615)","(51.0, 160.0, 92.14285714285714)","(101.0, 790.0, 383.33333333333337)","(91.0, 220.0, 175.0)","(101.0, 790.0, 383.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 27.77777777777778)","(101.0, 630.0, 405.0)"
16-12-2022 13:02:45.097535,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.46153846153846)","(19.0, 40.0, 38.15384615384615)","(51.0, 160.0, 92.14285714285714)","(101.0, 790.0, 383.33333333333337)","(91.0, 220.0, 175.0)","(101.0, 790.0, 383.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 28.46153846153846)","(101.0, 630.0, 405.0)"
16-12-2022 13:02:46.540373,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.46153846153846)","(19.0, 40.0, 38.15384615384615)","(51.0, 160.0, 92.14285714285714)","(101.0, 790.0, 383.33333333333337)","(91.0, 220.0, 175.0)","(101.0, 790.0, 383.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 28.46153846153846)","(101.0, 630.0, 405.0)"
16-12-2022 13:02:47.962783,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.39622641509434)","(19.0, 40.0, 38.15384615384615)","(51.0, 160.0, 92.14285714285714)","(101.0, 790.0, 383.33333333333337)","(91.0, 220.0, 175.0)","(101.0, 790.0, 383.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 28.46153846153846)","(101.0, 630.0, 405.0)"
16-12-2022 13:02:49.396731,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 19.0, 18.39622641509434)","(19.0, 40.0, 38.15384615384615)","(51.0, 160.0, 89.28571428571428)","(101.0, 790.0, 505.0)","(91.0, 220.0, 175.0)","(101.0, 790.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 28.51851851851852)","(101.0, 630.0, 326.66666666666663)"
16-12-2022 13:02:50.837765,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 150.0, 86.25)","(101.0, 830.0, 505.0)","(91.0, 220.0, 175.0)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 28.51851851851852)","(101.0, 620.0, 326.66666666666663)"
16-12-2022 13:02:52.270653,"(15.0, 22.0, 20.0)","(8.5, 14.0, 13.657142857142857)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 150.0, 86.25)","(101.0, 830.0, 505.0)","(91.0, 220.0, 175.0)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 24.375)","(101.0, 620.0, 326.66666666666663)"
16-12-2022 13:02:53.859797,"(15.0, 22.0, 20.0)","(8.5, 15.5, 15.515151515151516)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 150.0, 86.25)","(101.0, 830.0, 505.0)","(91.0, 220.0, 175.0)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 27.5)","(101.0, 620.0, 326.66666666666663)"
16-12-2022 13:02:55.246681,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 150.0, 86.25)","(101.0, 830.0, 505.0)","(91.0, 220.0, 175.0)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 27.916666666666668)","(101.0, 620.0, 326.66666666666663)"
16-12-2022 13:02:56.708528,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 150.0, 83.75)","(101.0, 830.0, 505.0)","(91.0, 220.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 30.0, 27.941176470588236)","(101.0, 620.0, 323.33333333333337)"
