,Sheza Tigeress,Friday Thirteenth,Curveball,Sals Last Blast,Kimchi,Kenny What,American Mandy,Sweet Sunshine,Sweet Rippin,Our Sweet Royale
10-01-2023 21:33:38.894496,"(7.0, 8.2, 7.866666666666666)","(71.0, 100.0, 89.28571428571429)","(11.0, 14.5, 13.454545454545455)","(3.6, 4.6, 4.233333333333333)","(4.6, 6.8, 6.3)","(91.0, 140.0, 130.0)","(3.2, 4.5, 4.4625)","(81.0, 170.0, 152.72727272727275)","(21.0, 38.0, 34.4)","(6.0, 13.0, 11.5)"
10-01-2023 21:33:40.518773,"(7.0, 8.2, 7.661538461538461)","(71.0, 100.0, 98.33333333333333)","(11.0, 16.0, 14.433333333333334)","(3.6, 4.4, 4.135294117647058)","(4.6, 6.6, 6.24)","(91.0, 140.0, 136.36363636363637)","(3.2, 4.5, 4.4625)","(81.0, 170.0, 136.0)","(21.0, 38.0, 34.4)","(6.0, 12.5, 11.766666666666666)"
10-01-2023 21:33:42.156364,"(7.0, 8.2, 7.661538461538461)","(71.0, 100.0, 98.33333333333333)","(11.0, 15.5, 14.2)","(3.6, 4.3, 4.135294117647058)","(4.6, 6.6, 6.214285714285714)","(91.0, 140.0, 115.0)","(3.2, 4.5, 4.4625)","(81.0, 170.0, 136.0)","(21.0, 38.0, 34.4)","(6.0, 12.5, 10.88888888888889)"
10-01-2023 21:33:43.571730,"(7.0, 8.0, 7.636363636363637)","(71.0, 100.0, 98.33333333333333)","(11.0, 14.5, 14.2)","(3.6, 4.3, 4.05)","(4.6, 6.6, 6.0769230769230775)","(91.0, 140.0, 115.0)","(3.2, 4.5, 5.072727272727272)","(81.0, 170.0, 136.0)","(21.0, 38.0, 34.4)","(6.0, 12.5, 11.266666666666667)"
10-01-2023 21:33:45.001117,"(7.0, 8.0, 7.636363636363637)","(71.0, 100.0, 98.33333333333333)","(11.0, 14.5, 14.2)","(3.6, 4.2, 4.135294117647058)","(4.6, 6.4, 6.1)","(91.0, 140.0, 115.0)","(3.2, 5.1, 4.928571428571429)","(81.0, 170.0, 136.0)","(21.0, 38.0, 34.4)","(6.0, 12.0, 11.15)"
10-01-2023 21:33:46.457952,"(7.0, 8.0, 7.125)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.5, 13.571428571428571)","(3.6, 4.3, 4.0)","(4.6, 6.6, 6.022222222222222)","(91.0, 140.0, 125.0)","(3.2, 5.1, 4.966666666666667)","(81.0, 170.0, 162.5)","(21.0, 38.0, 34.4)","(6.0, 12.5, 11.15)"
10-01-2023 21:33:47.875395,"(7.0, 7.8, 7.56)","(71.0, 100.0, 98.27586206896552)","(11.0, 15.0, 14.071428571428571)","(3.6, 4.3, 4.083333333333334)","(4.6, 6.2, 6.025)","(91.0, 140.0, 125.0)","(3.2, 5.1, 4.95)","(81.0, 230.0, 152.5)","(21.0, 38.0, 34.666666666666664)","(6.0, 12.5, 11.15)"
10-01-2023 21:33:49.261391,"(7.0, 7.8, 7.2)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.5, 14.071428571428571)","(3.6, 4.2, 4.1191176470588236)","(4.6, 6.2, 6.45)","(91.0, 140.0, 125.0)","(3.4, 5.1, 4.95)","(81.0, 210.0, 164.0)","(21.0, 38.0, 22.076923076923077)","(6.0, 12.5, 11.6)"
10-01-2023 21:33:50.613089,"(7.0, 7.6, 6.977777777777778)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.5, 14.071428571428571)","(3.6, 4.2, 4.0473684210526315)","(4.6, 7.4, 6.65)","(91.0, 140.0, 125.0)","(3.4, 5.1, 4.928571428571429)","(81.0, 210.0, 158.0)","(21.0, 23.0, 29.764705882352942)","(6.0, 12.5, 11.6)"
10-01-2023 21:33:52.057373,"(7.0, 7.6, 6.977777777777778)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.5, 13.5)","(3.6, 4.1, 4.167741935483871)","(4.6, 7.4, 6.461538461538462)","(91.0, 140.0, 102.5)","(3.4, 5.1, 4.9051282051282055)","(81.0, 200.0, 158.0)","(21.0, 38.0, 27.166666666666668)","(6.0, 12.5, 11.6)"
