,American Russ,Ebony King,Hanibal Hero,Mahjing,Dirty Grin,Gringotts,Shakattak,Tapin Three,Terrestar
11-01-2023 15:36:40.696624,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 260.0, 183.33333333333334)","(8.5, 13.5, 13.090909090909092)","(4.4, 4.9, 4.8359342915811085)","(4.6, 5.9, 5.779487179487179)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.486530612244898)"
11-01-2023 15:36:41.953528,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 250.0, 183.33333333333334)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.8359342915811085)","(4.6, 5.9, 5.779487179487179)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.486530612244898)"
11-01-2023 15:36:43.251455,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 240.0, 180.0)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.8359342915811085)","(4.6, 5.9, 5.779487179487179)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:44.464292,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 240.0, 180.0)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.837919826652221)","(4.6, 5.9, 5.763768115942029)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:45.702371,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 240.0, 161.25)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.837919826652221)","(4.6, 5.9, 5.763768115942029)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:46.891370,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 31.466666666666665)","(101.0, 240.0, 190.0)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.837919826652221)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:48.124538,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 230.0, 190.0)","(9.0, 13.5, 13.090909090909092)","(4.4, 4.9, 4.837919826652221)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:49.373192,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 230.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9594285714285715)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:50.617256,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.953)","(8.5, 9.8, 9.48)"
11-01-2023 15:36:51.869355,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9506122448979593)","(8.5, 9.8, 9.48)"
