,Magic Avenue,Slingshot Yo Yo,Optimus Bruce,Fleeting Fury,Urana Blazer,Club Man,Sister One,Shining Silver
08-01-2023 16:25:39.070132,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:40.160921,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:41.353545,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:42.524671,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:43.716546,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:44.797629,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:45.976563,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:47.083627,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:48.275317,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:49.523981,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:50.546958,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:51.707564,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:52.985593,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:54.119420,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:55.224618,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:56.382805,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:57.581428,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:58.597580,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:25:59.731843,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:00.905612,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:02.037476,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:03.067601,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:04.264869,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:05.499034,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:06.515135,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:07.614481,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:08.854936,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:09.940664,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:11.027254,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:12.197794,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:13.357168,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:14.404018,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:15.562373,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:16.602585,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:17.662560,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:18.824414,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:19.908785,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:20.957621,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
