,Sudoku Cobra,Pot Luck Chuck,Sunnyside Jo,Lektra Teddy,Lektra Rhino,Wedding Or Baby,Aston Tango
14-12-2022 12:26:12.968746,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(8.0, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:14.361322,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(8.0, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:15.790631,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(8.0, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:17.299014,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(8.0, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:18.664089,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:19.997610,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:21.584476,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 16.5, 9.583333333333332)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:22.891094,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 16.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:24.427944,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:25.694355,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:26.953052,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:28.291375,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:29.561935,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:30.866914,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:32.228845,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:33.563000,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:34.879141,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:36.200805,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:37.515872,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:38.796646,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 6.16)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 9.242857142857142)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:40.150882,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:41.451293,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:42.667995,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(7.5, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4825)"
14-12-2022 12:26:43.918840,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:45.176802,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:46.346893,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:47.604423,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:48.935766,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 13.454545454545453)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:50.173692,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.5, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:51.534691,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:52.858364,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:54.115330,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:55.367756,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:56.618815,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 8.662068965517241)","(5.5, 11.0, 5.909090909090909)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.363636363636363)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:57.867232,"(3.7, 7.0, 4.411363636363636)","(21.0, 65.0, 31.181818181818183)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:26:59.123692,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:27:00.466250,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.82, 2.4798425196850395)"
14-12-2022 12:27:01.692583,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.82, 2.1637500000000003)"
14-12-2022 12:27:03.260808,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.82, 2.367272727272727)"
