,Me And Pop,Rolling Cole,Sweet Chana,Emma Dutton,Fabizio,Sudden Impulse,Integrity Son,Blueberry Danish
12-01-2023 09:37:34.011367,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:35.154769,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:36.294200,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:37.464735,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:38.668831,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:39.926894,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:41.027063,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:42.197069,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:43.339458,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:44.398978,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
