,Spirit Of Bart,Wallys Boy,Magic Madness,Big Wednesday,Mia Grace,Princess Bride,Wildash Venus,Emerald Ability
08-01-2023 16:35:54.985028,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:35:56.177107,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:35:57.320536,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:35:58.491450,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:35:59.621767,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:00.818332,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:01.975413,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:02.994440,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:04.176540,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:05.325730,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
