,Anemos,Chihuly,Gronkowski,Lallegro,Rebillyous,Tolpuddle,Box Of Crackers,Lily Luella,Might Just Happen,Penelope Jane,Temple Of Gold,Penny Bazaar,Livstar
16-12-2022 12:34:12.556233,"(101.0, 220.0, 180.0)","(9.0, 10.5, 10.928571428571429)","(26.0, 90.0, 62.8)","(61.0, 150.0, 145.0)","(6.5, 12.5, 13.421052631578947)","(2.05, 2.22, 2.1917073170731705)","(6.0, 8.4, 8.314285714285713)","(41.0, 70.0, 63.793103448275865)","(11.0, 21.0, 19.823529411764707)","(8.5, 10.5, 10.01123595505618)","(21.0, 26.0, 25.0)","(51.0, 130.0, 113.0)","(91.0, 210.0, 186.66666666666666)"
16-12-2022 12:34:14.022237,"(101.0, 210.0, 194.0)","(9.0, 11.0, 10.928571428571429)","(26.0, 85.0, 62.8)","(61.0, 150.0, 145.0)","(6.5, 13.5, 13.421052631578947)","(2.05, 2.26, 2.1917073170731705)","(6.0, 8.6, 8.314285714285713)","(41.0, 70.0, 63.793103448275865)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.830769230769231)","(21.0, 26.0, 25.0)","(51.0, 120.0, 113.0)","(91.0, 210.0, 180.0)"
16-12-2022 12:34:15.431625,"(101.0, 210.0, 194.0)","(9.0, 11.5, 10.928571428571429)","(26.0, 85.0, 62.8)","(61.0, 150.0, 145.0)","(6.5, 13.5, 13.421052631578947)","(2.05, 2.26, 2.1747826086956525)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.830769230769231)","(21.0, 26.0, 24.94736842105263)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:16.730944,"(101.0, 210.0, 194.0)","(9.0, 11.5, 10.928571428571429)","(26.0, 85.0, 57.7)","(61.0, 150.0, 145.0)","(6.5, 13.5, 13.421052631578947)","(2.05, 2.24, 2.1613114754098364)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.830769230769231)","(21.0, 25.0, 24.94736842105263)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:18.123023,"(101.0, 210.0, 194.0)","(9.0, 11.5, 10.928571428571429)","(26.0, 80.0, 71.5)","(61.0, 170.0, 156.66666666666669)","(6.5, 13.5, 13.421052631578947)","(2.05, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.830769230769231)","(21.0, 25.0, 24.94736842105263)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:19.534283,"(101.0, 210.0, 194.0)","(9.0, 11.5, 10.928571428571429)","(26.0, 80.0, 71.5)","(61.0, 170.0, 156.66666666666669)","(6.5, 13.5, 13.421052631578947)","(2.0, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.830769230769231)","(21.0, 25.0, 24.9375)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:20.951529,"(101.0, 210.0, 194.0)","(9.0, 11.5, 10.928571428571429)","(26.0, 80.0, 71.5)","(61.0, 170.0, 156.66666666666669)","(6.5, 13.5, 13.4375)","(2.0, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.807954545454546)","(21.0, 25.0, 24.9375)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:22.334924,"(101.0, 210.0, 194.0)","(9.0, 11.5, 11.119047619047619)","(26.0, 80.0, 71.5)","(61.0, 170.0, 156.66666666666669)","(6.5, 13.5, 13.4375)","(2.0, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 62.72727272727273)","(11.0, 20.0, 19.857142857142858)","(8.5, 10.5, 9.807954545454546)","(21.0, 25.0, 24.692307692307693)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:23.666281,"(101.0, 210.0, 194.0)","(9.0, 11.5, 11.119047619047619)","(26.0, 80.0, 57.0)","(61.0, 170.0, 156.66666666666669)","(6.5, 13.5, 13.4375)","(2.0, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.823529411764707)","(8.5, 10.5, 9.807954545454546)","(21.0, 25.0, 24.692307692307693)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:25.103177,"(101.0, 210.0, 194.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 52.5)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 13.446428571428571)","(2.0, 2.24, 2.158181818181818)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.823529411764707)","(9.0, 10.5, 9.807954545454546)","(21.0, 25.0, 24.692307692307693)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
