,Ammoudi Bay,Cinnamon Missile,Fratellino,Leadership Spill,Wit,Such A Whit,Sogni
06-01-2023 15:47:59.803106,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:01.129192,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:02.271264,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:03.446704,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:04.523949,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:05.950957,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:07.506742,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:48:09.100878,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:10.431392,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:11.618032,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:12.816738,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:14.124004,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:15.378084,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:16.599397,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:17.686615,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:18.829840,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:19.992091,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:21.146863,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:22.199127,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:23.467036,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:24.600097,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:25.811670,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:27.070809,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:28.158509,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:29.187596,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:30.240667,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:31.329733,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:32.324419,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
