,Katdeel,Mataman,Lady Valentine,Satellite Spirit,Deal An Ace,Star Prince,Perfect Impact,Anatini,Modele,Queen Luwell,Zuri Zuri,Chance At Midnight,Sea Kissed,Destination Sydney
08-01-2023 14:47:17.411671,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:18.968198,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:20.506093,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:22.005649,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:23.511763,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:24.994616,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:26.551159,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:28.118570,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:29.628114,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
08-01-2023 14:47:31.253493,"(3.1, 3.95, 3.7750000000000004)","(101.0, 230.0, 180.0)","(2.35, 2.72, 2.718)","(6.0, 7.8, 7.64516129032258)","(10.0, 13.5, 12.585365853658537)","(31.0, 36.0, 33.6)","(101.0, 220.0, 183.33333333333331)","(8.0, 15.5, 13.25)","(51.0, 190.0, 142.0)","(101.0, 230.0, 170.0)","(20.0, 36.0, 24.75)","(101.0, 210.0, 160.0)","(101.0, 220.0, 165.0)","(101.0, 210.0, 152.5)"
