,Captain Kenny,Gojira,Governor,Governor Phillip,One Lucky Kid,Registry,Square Cut,No Rain No Flowers,Royal Lane,Fridays Songs
10-01-2023 12:39:45.280432,"(6.0, 10.0, 8.755555555555556)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.382258064516129)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:46.741435,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.382258064516129)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:48.122343,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.382258064516129)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:49.438681,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.382258064516129)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:50.771103,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.382258064516129)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:52.111381,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.45, 3.111940298507463)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.933333333333334)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:53.531929,"(6.0, 10.0, 9.2)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.2, 3.1120481927710846)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:55.033613,"(6.0, 10.0, 9.49090909090909)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.2, 3.1120481927710846)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 164.0)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:56.503852,"(6.0, 10.0, 9.49090909090909)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.2, 3.1120481927710846)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:39:58.078801,"(6.0, 10.0, 9.49090909090909)","(8.0, 11.5, 10.771428571428572)","(2.7, 3.2, 3.1120481927710846)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
