,Wagner Bale,Thank You Jill,Highway Man,Adonis Sands,Floppy Roo,Orson Franky,Dr Esther,Dr Lysandra
07-01-2023 09:07:49.845814,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:50.870038,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:51.853850,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:52.828946,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:53.826594,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:54.812838,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:55.798297,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:56.829198,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:57.814688,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:58.804992,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:07:59.788852,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:00.708008,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:01.645527,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:02.584778,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:03.512554,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:04.435526,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:05.363815,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:06.310996,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:07.227329,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:08.160860,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:09.096511,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:10.025637,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:10.960262,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:12.059213,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:13.027759,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:14.210305,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:15.207711,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:16.186280,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:17.155984,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:18.198546,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:19.199100,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:20.150476,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:21.130482,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:22.200798,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:23.172495,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:24.124125,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:25.076108,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:26.046827,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:27.001009,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:27.972305,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:28.926376,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:29.907917,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:30.915100,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:31.906440,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8355000000000001)"
07-01-2023 09:08:32.895046,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:33.860665,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:35.094989,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:36.214180,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:37.240027,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:38.297207,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:39.582654,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:40.730248,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:41.997311,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:43.167667,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:44.268759,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:45.327640,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:46.297568,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:47.315869,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:48.398522,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:49.492610,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:50.629449,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:51.708764,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:52.797287,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:53.817735,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:54.818696,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
07-01-2023 09:08:55.825140,"(10.0, 28.0, 22.705882352941178)","(3.8, 6.2, 5.046153846153846)","(21.0, 100.0, 60.5)","(10.0, 25.0, 20.842105263157894)","(51.0, 410.0, 241.8181818181818)","(26.0, 220.0, 123.5)","(5.0, 9.6, 5.2615384615384615)","(1.8, 2.7, 1.8213793103448277)"
