,Thrax,Stac Pollaidh,Centrestone,Little Jill,Toptimistic,Tiger For Life,Carlie Eksplodes,Gold Invest
15-12-2022 14:14:46.213174,"(71.0, 170.0, 150.0)","(31.0, 85.0, 79.58333333333333)","(1.7, 1.74, 1.7254687499999999)","(5.0, 7.8, 7.591304347826087)","(71.0, 210.0, 195.0)","(5.0, 6.4, 6.354285714285715)","(6.0, 10.0, 9.82857142857143)","(41.0, 140.0, 137.0)"
15-12-2022 14:14:47.587557,"(71.0, 170.0, 150.0)","(31.0, 85.0, 75.71428571428571)","(1.7, 1.73, 1.7256060606060606)","(5.0, 7.8, 7.631578947368421)","(71.0, 210.0, 170.0)","(5.0, 6.4, 6.43448275862069)","(6.0, 10.0, 10.0)","(41.0, 140.0, 130.0)"
15-12-2022 14:14:48.978004,"(71.0, 170.0, 136.66666666666666)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.73, 1.7028717948717949)","(5.0, 7.8, 7.631578947368421)","(71.0, 210.0, 170.0)","(5.0, 6.6, 6.437037037037038)","(6.0, 10.5, 10.00909090909091)","(41.0, 140.0, 130.0)"
15-12-2022 14:14:50.280737,"(71.0, 170.0, 130.0)","(31.0, 85.0, 75.71428571428571)","(1.7, 1.72, 1.710313700384123)","(5.0, 7.8, 7.676923076923076)","(71.0, 210.0, 170.0)","(5.0, 6.6, 6.453333333333333)","(6.0, 10.5, 9.978947368421053)","(41.0, 140.0, 81.66666666666667)"
15-12-2022 14:14:51.557517,"(71.0, 170.0, 130.0)","(31.0, 85.0, 75.71428571428571)","(1.7, 1.72, 1.710313700384123)","(5.0, 7.8, 7.889655172413793)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.424)","(6.0, 10.5, 10.069565217391304)","(41.0, 140.0, 90.0)"
15-12-2022 14:14:52.838451,"(71.0, 170.0, 130.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.72, 1.710313700384123)","(5.0, 8.0, 7.889655172413793)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.424)","(6.0, 10.5, 10.290476190476191)","(41.0, 140.0, 81.66666666666667)"
15-12-2022 14:14:54.162786,"(71.0, 170.0, 130.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.72, 1.710313700384123)","(5.0, 8.0, 7.84)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.424)","(6.0, 10.5, 10.179166666666667)","(41.0, 140.0, 81.66666666666667)"
15-12-2022 14:14:55.616818,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.72, 1.7103157216494844)","(5.0, 8.0, 7.92)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.377215189873418)","(6.0, 10.5, 10.179166666666667)","(41.0, 140.0, 81.66666666666667)"
15-12-2022 14:14:56.897223,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.72, 1.7063636363636363)","(5.0, 8.0, 7.92)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.377215189873418)","(6.0, 10.5, 10.179166666666667)","(41.0, 140.0, 101.11111111111111)"
15-12-2022 14:14:58.335056,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.71, 1.706125)","(5.0, 8.0, 7.92)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.437037037037038)","(6.0, 10.5, 10.179166666666667)","(41.0, 140.0, 95.0)"
15-12-2022 14:14:59.553220,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.71, 1.706125)","(5.0, 8.0, 7.92)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.404444444444445)","(6.0, 10.5, 10.310526315789474)","(41.0, 120.0, 83.33333333333333)"
