,Humbling,Opawa Anita,Goldstar Toby,Diamond Warrior,Grande Vue Ace,Zipping Ontario,Adobe Kid,Mrs Chinn
08-12-2022 15:46:28.421326,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 16.5, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:29.663405,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:30.927640,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:32.127425,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:33.363488,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:34.458147,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:35.723528,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:36.903263,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:38.105830,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:39.326835,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
