,Homebush Leah,Homebush Bun,Homebush Classy,Brendon Baxter,Smash Jagger,Wandering Star,Lucky Luciano
10,"[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 20, 481473), 21.0, 240.0]"
11,"[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 21, 613722), 21.0, 240.0]"
12,"[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 22, 732407), 21.0, 240.0]"
13,"[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 23, 859533), 21.0, 240.0]"
14,"[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 24, 975223), 21.0, 240.0]"
15,"[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 26, 112033), 21.0, 240.0]"
16,"[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 27, 260939), 21.0, 240.0]"
17,"[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 28, 371483), 21.0, 240.0]"
18,"[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 29, 481369), 21.0, 240.0]"
19,"[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 30, 602134), 21.0, 240.0]"
20,"[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 31, 717259), 21.0, 240.0]"
21,"[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 32, 824891), 21.0, 240.0]"
22,"[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 33, 935586), 21.0, 240.0]"
23,"[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 35, 46827), 21.0, 240.0]"
24,"[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 36, 187631), 21.0, 240.0]"
25,"[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 37, 308348), 21.0, 240.0]"
26,"[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 38, 443115), 21.0, 240.0]"
27,"[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 39, 557999), 21.0, 240.0]"
28,"[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 40, 674907), 21.0, 240.0]"
29,"[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 41, 797439), 21.0, 240.0]"
30,"[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 42, 946159), 21.0, 240.0]"
31,"[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 44, 55313), 21.0, 240.0]"
