,Hillbilly Pickin,Interventionist,Lonely Rock,Rapid Impact,Sir Smitty,Spitfire,Tekapo,Jamrock,Apache Jewel,Kaisa,Lady Goodfellow,Among Us
08-12-2022 13:50:35.578345,"(14.0, 29.0, 27.375)","(31.0, 200.0, 132.5)","(71.0, 300.0, 283.33333333333337)","(31.0, 48.0, 40.57142857142857)","(6.5, 7.2, 6.92)","(2.5, 2.88, 2.85375)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.761616161616161)","(19.0, 80.0, 46.8)","(13.0, 21.0, 19.571428571428573)","(17.0, 29.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:37.054403,"(14.0, 30.0, 27.375)","(31.0, 200.0, 132.5)","(71.0, 300.0, 283.33333333333337)","(31.0, 44.0, 40.57142857142857)","(6.5, 8.0, 6.781818181818182)","(2.5, 2.88, 2.85375)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.761616161616161)","(19.0, 75.0, 46.8)","(13.0, 21.0, 19.0)","(17.0, 28.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:38.552576,"(14.0, 30.0, 27.375)","(31.0, 200.0, 110.0)","(71.0, 300.0, 283.33333333333337)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.8, 7.053333333333334)","(2.5, 2.88, 2.85375)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.759183673469388)","(19.0, 75.0, 46.8)","(13.0, 21.0, 19.0)","(17.0, 28.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:40.000879,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 300.0, 283.33333333333337)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.8, 7.053333333333334)","(2.5, 2.88, 2.846206896551724)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.803333333333333)","(19.0, 75.0, 46.8)","(13.0, 21.0, 19.0)","(17.0, 28.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:41.445422,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 300.0, 262.96296296296293)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.8, 7.314285714285714)","(2.5, 2.86, 2.846206896551724)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 75.0, 49.5)","(13.0, 21.0, 19.0)","(17.0, 28.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:42.852781,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 290.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.6, 7.314285714285714)","(2.5, 2.86, 2.8314285714285714)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 70.0, 43.4)","(13.0, 21.0, 19.0)","(17.0, 27.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:44.238372,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.6, 7.314285714285714)","(2.5, 2.86, 2.8314285714285714)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 65.0, 47.0)","(13.0, 21.0, 19.0)","(17.0, 27.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:45.629688,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.6, 7.314285714285714)","(2.5, 2.86, 2.8314285714285714)","(31.0, 38.0, 36.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 65.0, 47.0)","(13.0, 21.0, 19.0)","(17.0, 27.0, 25.5)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:47.184038,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.6, 6.833333333333333)","(2.5, 2.86, 2.8314285714285714)","(31.0, 38.0, 35.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 65.0, 44.5)","(13.0, 21.0, 19.5)","(17.0, 27.0, 24.565217391304348)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:48.624056,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 8.0, 7.133333333333333)","(2.5, 2.86, 2.8314285714285714)","(31.0, 36.0, 35.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 60.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 29.0, 24.565217391304348)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:49.975826,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 40.57142857142857)","(6.5, 7.8, 7.133333333333333)","(2.5, 2.86, 2.8314285714285714)","(31.0, 36.0, 35.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 29.0, 24.565217391304348)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:51.307854,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 44.0, 39.142857142857146)","(6.5, 7.8, 7.061538461538461)","(2.5, 2.86, 2.8314285714285714)","(31.0, 36.0, 35.6)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 29.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:52.712190,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 42.0, 39.142857142857146)","(6.5, 7.8, 7.061538461538461)","(2.5, 2.86, 2.8314285714285714)","(31.0, 36.0, 35.6)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:54.135185,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 42.0, 39.142857142857146)","(6.5, 7.8, 7.199999999999999)","(2.5, 2.86, 2.8314285714285714)","(31.0, 36.0, 38.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 28.0, 25.0)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:55.527265,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 42.0, 39.142857142857146)","(6.5, 7.6, 7.578947368421052)","(2.5, 2.86, 2.8314285714285714)","(31.0, 42.0, 38.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 27.0, 25.0)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:56.889325,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 42.0, 37.77777777777778)","(6.5, 7.6, 7.578947368421052)","(2.5, 2.86, 2.8314285714285714)","(31.0, 42.0, 38.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 27.0, 25.0)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:58.325289,"(14.0, 30.0, 27.375)","(31.0, 200.0, 92.0)","(71.0, 280.0, 265.0)","(31.0, 40.0, 37.77777777777778)","(6.5, 7.6, 7.578947368421052)","(2.5, 2.86, 2.8509090909090906)","(31.0, 42.0, 38.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 42.0)","(13.0, 21.0, 20.0)","(17.0, 27.0, 25.0)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:50:59.679204,"(14.0, 30.0, 27.375)","(31.0, 200.0, 88.66666666666666)","(71.0, 280.0, 238.51851851851853)","(31.0, 40.0, 37.77777777777778)","(6.5, 7.6, 6.92)","(2.5, 2.88, 2.8509090909090906)","(31.0, 42.0, 37.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 55.0, 39.5)","(13.0, 21.0, 20.0)","(17.0, 27.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
