,Covalent,Lady Chartwell,I Prefer Soul,Bush,Elusive Mission,Gold Celebration,Allikah,Bella Tarouga,Keys To Love,Lake Mac Lily,Loniesha
0,"[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 8, 819080), 18.0, 95.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 10, 8471), 18.0, 95.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 11, 183296), 18.0, 95.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 12, 354768), 18.0, 95.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 13, 559669), 18.0, 95.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 14, 766999), 18.0, 95.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 15, 963334), 18.0, 95.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 17, 166589), 18.0, 95.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 18, 357826), 18.0, 95.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 1.95, 2.24]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 3.0, 3.6]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 31.0, 220.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 101.0, 430.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 31.0, 250.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 81.0, 450.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 13.0, 27.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 21.0, 150.0]","[datetime.datetime(2022, 11, 28, 14, 52, 19, 540485), 18.0, 95.0]"
