,Homebush Sparkle,Goldstar Ange,Goldstar Harper,Mine Hunter,Romina Bale,Mehira,Caithness
08-12-2022 14:13:26.815419,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:28.248889,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:29.483123,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:30.788219,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:32.085036,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:33.239112,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:34.347211,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:35.472936,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:36.648565,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:37.762592,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:38.928611,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:40.127225,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:41.287266,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 6.05)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:42.447787,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:43.638550,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:44.652153,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:45.773047,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:46.954152,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:48.149471,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:49.294208,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:50.420268,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:51.626352,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:52.940101,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:54.204481,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:55.422975,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:56.572252,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:57.687677,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:13:58.808506,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:00.045869,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:01.173681,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:02.307016,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:03.442353,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:04.620108,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:05.823722,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:06.964250,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:08.169783,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
