,Buckle Up Tahlia,Buckle Up Avery,Aston Paisley,Bedrock Cruiser,Zurhaar
10-01-2023 13:02:05.383193,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.0)"
10-01-2023 13:02:06.435362,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.0)"
10-01-2023 13:02:07.408604,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.0)"
10-01-2023 13:02:08.440501,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.0)"
10-01-2023 13:02:09.520061,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.0)"
10-01-2023 13:02:10.448257,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
10-01-2023 13:02:11.522205,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
10-01-2023 13:02:12.599694,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
10-01-2023 13:02:13.539456,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
10-01-2023 13:02:14.526900,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
