,Zaras Princess,Miss Faberge,Crackerjack King,Laroza Bale,Alicah,Bahrose
10-01-2023 15:24:16.368944,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.23125)"
10-01-2023 15:24:17.452892,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.23125)"
10-01-2023 15:24:18.390327,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.23125)"
10-01-2023 15:24:19.324042,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.23125)"
10-01-2023 15:24:20.245657,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:21.207253,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:22.211990,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:23.187444,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:24.131211,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:25.083762,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:26.022369,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:26.925563,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.333333333333332)"
10-01-2023 15:24:27.892665,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 7.975)"
10-01-2023 15:24:28.848072,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 7.975)"
