,Lieutenant Jack,Hoppers Dream,Mamma Kass,Monsieur Steel,Calculating Dancer,Our Major Jack Nz,Thiswaytothebeach,Trade Whispers
07-01-2023 20:46:15.559236,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:17.110458,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:18.669447,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:20.302952,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:21.699117,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:23.452452,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:25.110882,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:26.553131,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:27.984347,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:29.379750,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
