,Breakaway Mae,Stonewashed,Flashback Jack,Bunt And Run,Crab,More Crackers,Ballina,Precious Honey
08-01-2023 18:34:24.543632,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:25.728607,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:26.982700,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:28.296136,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:29.672114,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:31.030701,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:32.327853,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.333333333333332)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:33.529836,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:34.709111,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:35.960669,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:37.232178,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:38.571008,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:39.837712,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:41.080024,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:42.320496,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:43.543170,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:44.767470,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:45.962679,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:47.120499,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:48.286389,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:49.623100,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 206.15384615384616)","(21.0, 70.0, 45.5)","(7.5, 16.0, 12.96)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:51.019805,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:52.520563,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
