,Acapulco,Why Not Emily,Talent Show,Barts Girl,Cindys Pride,Chi Foose
08-12-2022 13:27:39.992087,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:41.057500,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:42.145198,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:43.158882,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:44.174870,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:45.303536,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:46.393064,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:47.493793,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:48.600761,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:49.608543,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
