,Smart Houdini,Gold Fillings,Any Given Sunday,Baccarat Boy,Wheres The Pub,Brockie Magic,Samsons Delilah
0,"[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 3.3, 3.7]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 19, 76394), 5.0, 16.5]"
1,"[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 3.3, 3.7]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 20, 199558), 5.0, 16.5]"
2,"[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 3.3, 3.7]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 21, 368605), 5.0, 16.5]"
3,"[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 22, 500332), 5.0, 16.5]"
4,"[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 23, 649973), 5.0, 16.5]"
5,"[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 24, 794550), 5.0, 16.5]"
6,"[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 3.3, 3.7]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 25, 997635), 5.0, 16.5]"
7,"[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 3.3, 3.7]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 27, 169070), 5.0, 16.5]"
8,"[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 28, 322236), 5.0, 16.5]"
9,"[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 29, 472094), 5.0, 16.5]"
10,"[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 30, 620606), 5.0, 16.5]"
11,"[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 31, 768410), 5.0, 16.5]"
12,"[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 4.0, 6.8]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 3.3, 3.75]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 3.3, 5.0]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 26.0, 90.0]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 31.0, 320.0]","[datetime.datetime(2022, 11, 28, 20, 26, 32, 988390), 5.0, 16.5]"
