,Northern Regie,Tutu To Tutu,Meehan Boston,Beauty On Fire,Wild Storms,Laceby Girl,Hello Lynda,Diablo Bale
12-01-2023 08:01:02.385501,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 6.114285714285714)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:03.496556,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 6.114285714285714)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:04.576255,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 6.114285714285714)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:05.732098,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 6.114285714285714)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:06.845761,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 6.114285714285714)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:07.861891,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:09.021999,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:10.135345,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:11.185667,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:12.462521,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
