,Toxic Impurities,Missouri Belle,Springvale Coco,Roger Rose,Calaiss Wohling,Steel Harbour
11-01-2023 13:40:53.374459,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:54.534674,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:55.561170,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:56.790800,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 27.75)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:57.948693,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 28.0)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:58.993954,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 22.909090909090907)","(14.0, 36.0, 23.5)"
11-01-2023 13:40:59.953498,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 22.909090909090907)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:00.930553,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 21.2)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:02.037839,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 22.909090909090907)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:03.146804,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 12.559999999999999)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:04.189226,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 15.5, 11.4)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:05.342358,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.041111111111111)","(9.0, 12.5, 11.4)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:06.504020,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.55)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:07.678841,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.55)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:09.012429,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.855555555555556)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:10.248087,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.855555555555556)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:11.205126,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.855555555555556)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:12.305708,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 10.855555555555556)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:13.382778,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 17.75)","(2.15, 3.85, 3.243333333333333)","(9.0, 12.5, 15.954545454545453)","(17.0, 40.0, 23.272727272727273)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:14.455088,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 16.8)","(2.15, 3.85, 3.122)","(9.0, 17.5, 15.4)","(17.0, 40.0, 21.6)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:15.468360,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 21.866666666666667)","(2.15, 3.85, 3.122)","(9.0, 17.0, 15.428571428571429)","(17.0, 40.0, 21.6)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:16.440843,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 21.866666666666667)","(2.15, 3.85, 3.122)","(9.0, 16.5, 14.294117647058822)","(17.0, 40.0, 21.6)","(14.0, 36.0, 23.5)"
11-01-2023 13:41:17.440705,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 21.866666666666667)","(2.15, 3.85, 3.041111111111111)","(9.0, 16.5, 13.666666666666668)","(17.0, 40.0, 22.75)","(14.0, 36.0, 23.77777777777778)"
11-01-2023 13:41:18.490388,"(2.05, 2.28, 2.239210526315789)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.122)","(9.0, 16.0, 13.7)","(17.0, 40.0, 22.75)","(14.0, 36.0, 23.77777777777778)"
11-01-2023 13:41:19.516169,"(2.05, 2.26, 2.2155555555555555)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.11111111111111)","(17.0, 40.0, 22.75)","(14.0, 36.0, 21.333333333333332)"
11-01-2023 13:41:20.601059,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.122)","(9.0, 15.5, 12.885714285714286)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.0)"
11-01-2023 13:41:21.607230,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.122)","(9.0, 15.5, 13.836363636363636)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.25)"
11-01-2023 13:41:22.622120,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.85, 3.256666666666667)","(9.0, 15.5, 13.836363636363636)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:23.710592,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 13.836363636363636)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:24.745864,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 13.89090909090909)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:25.824878,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 13.945454545454545)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:26.825791,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 13.945454545454545)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:27.842126,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 13.945454545454545)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:28.977950,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 13.142857142857142)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:29.986926,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.468571428571429)","(9.0, 15.5, 14.0)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:30.920478,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.0)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:32.046885,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:33.167998,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:34.152680,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:35.112675,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:36.174166,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:37.206827,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:38.284952,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:39.413577,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:40.390116,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:41.470938,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:42.473345,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 20.363636363636363)"
11-01-2023 13:41:43.421508,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1825)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:44.505808,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:45.538750,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:46.589430,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:47.775808,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:48.939007,"(2.05, 2.26, 2.1044444444444443)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:49.975942,"(2.05, 2.24, 2.095555555555556)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 13.78125)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:51.083865,"(2.05, 2.24, 2.1955696202531647)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.316)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:52.267514,"(2.05, 2.24, 2.02875)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:53.454639,"(2.05, 2.24, 2.1955696202531647)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:54.559550,"(2.05, 2.24, 2.02875)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:55.678685,"(2.05, 2.22, 2.16)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:56.778415,"(2.05, 2.22, 2.216268656716418)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:57.776234,"(2.05, 2.22, 2.16)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:41:58.914382,"(2.05, 2.22, 2.216268656716418)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.85, 3.4771428571428573)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:00.135189,"(2.05, 2.2, 2.0075)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.85, 3.1975)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 24.666666666666668)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:01.332499,"(2.05, 2.2, 2.09)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.85, 3.388888888888889)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 24.666666666666668)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:02.476343,"(2.05, 2.2, 2.1900000000000004)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.9, 3.2221052631578946)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:03.615505,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.9, 3.1799999999999997)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 22.75)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:04.925370,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 24.666666666666668)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:06.343050,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 24.666666666666668)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:07.309672,"(2.05, 2.16, 2.016)","(15.0, 32.0, 14.923076923076923)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 24.666666666666668)","(14.0, 36.0, 22.5625)"
11-01-2023 13:42:08.221367,"(2.05, 2.16, 2.016)","(15.0, 32.0, 15.384615384615385)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 25.0)","(14.0, 36.0, 24.055555555555557)"
11-01-2023 13:42:09.305714,"(2.05, 2.16, 2.016)","(15.0, 32.0, 15.384615384615385)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 25.0)","(14.0, 36.0, 24.055555555555557)"
11-01-2023 13:42:10.382015,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 14.588235294117647)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 25.0)","(14.0, 36.0, 24.055555555555557)"
11-01-2023 13:42:11.635986,"(2.05, 2.16, 2.016)","(15.0, 32.0, 15.555555555555555)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 25.0)","(14.0, 36.0, 24.055555555555557)"
11-01-2023 13:42:12.605064,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 15.555555555555555)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 19.23076923076923)","(14.0, 36.0, 24.055555555555557)"
11-01-2023 13:42:13.587232,"(2.05, 2.16, 2.1307692307692307)","(15.0, 32.0, 15.555555555555555)","(2.15, 3.9, 3.028421052631579)","(9.0, 15.5, 14.321428571428571)","(17.0, 40.0, 19.23076923076923)","(14.0, 36.0, 24.055555555555557)"
