,Mystical Charm,Magic Nitro,Bahamas Miss,Feel Your Way,Montana One,Atomic Pete,Financially Stable,Just Call Me Harry,Batman Jujon
11-01-2023 21:06:55.673325,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:56.939987,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:58.007177,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:06:59.255675,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:00.528201,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:01.691112,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:02.849537,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:03.995430,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:05.189801,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:06.361287,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.725)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
