,Stay Focused,Elish Star,Luvaflair,Majestic Dream,Majestic Courtney Nz,Lightning Calder,Peachee,Flingandwingit
0,"[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 21, 820218), 14.0, 29.0]"
1,"[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 23, 4042), 14.0, 29.0]"
2,"[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 24, 189187), 14.0, 29.0]"
3,"[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 25, 383073), 14.0, 29.0]"
4,"[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 26, 585963), 14.0, 29.0]"
5,"[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 27, 785244), 14.0, 29.0]"
6,"[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 28, 983078), 14.0, 29.0]"
7,"[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 30, 191381), 14.0, 29.0]"
8,"[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 31, 402940), 14.0, 29.0]"
9,"[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 2.2, 3.3]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 5.0, 7.6]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 4.4, 7.8]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 51.0, 160.0]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 7.0, 99999]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 51.0, 180.0]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 6.0, 10.5]","[datetime.datetime(2022, 11, 28, 14, 32, 32, 610763), 14.0, 29.0]"
