,Just Too Fancy,New To Me,Tails Up,Fancy Kelly,Daisy Moments,Balts Agenda
07-12-2022 20:56:13.238950,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:14.119803,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 28.0)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:15.203235,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 28.0)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:16.391745,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:56:17.560037,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.5592307692307692)"
07-12-2022 20:56:18.713166,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 33.285714285714285)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:19.665680,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:20.723361,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:21.825016,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:22.863010,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
