,Mi Gusto Es,Sweet T,Runaway Road,Tricky Strong,Ridunculous,Astral Ride,My Slick Nick,Brotherfromanother,A Thousand Idols
16-12-2022 11:45:53.965491,"(2.4, 3.3, 3.1772727272727272)","(16.0, 300.0, 230.25)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 310.0, 164.5)","(21.0, 350.0, 184.0)"
16-12-2022 11:45:55.095465,"(2.4, 3.3, 3.1772727272727272)","(16.0, 300.0, 230.25)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 310.0, 169.5)","(21.0, 350.0, 219.0)"
16-12-2022 11:45:56.266285,"(2.4, 3.3, 3.1875)","(16.0, 310.0, 237.75)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:45:57.400446,"(2.4, 3.3, 3.1875)","(16.0, 310.0, 237.75)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:45:58.568670,"(2.4, 3.3, 3.1875)","(16.0, 310.0, 166.5)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:45:59.778504,"(2.4, 3.3, 3.011111111111111)","(16.0, 310.0, 166.5)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:00.927331,"(2.4, 3.3, 3.186363636363636)","(16.0, 310.0, 166.5)","(3.1, 3.35, 3.225)","(14.0, 210.0, 145.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 164.75)","(19.0, 320.0, 164.5)","(21.0, 420.0, 214.0)"
16-12-2022 11:46:02.161999,"(2.4, 3.3, 3.186363636363636)","(16.0, 300.0, 161.5)","(3.1, 3.35, 3.225)","(14.0, 200.0, 108.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 310.0, 159.75)","(19.0, 310.0, 159.5)","(21.0, 410.0, 204.0)"
16-12-2022 11:46:03.277068,"(2.4, 3.3, 3.186363636363636)","(16.0, 290.0, 156.5)","(3.1, 3.35, 3.225)","(14.0, 190.0, 103.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 300.0, 159.75)","(19.0, 300.0, 159.5)","(21.0, 390.0, 204.0)"
16-12-2022 11:46:04.335036,"(2.4, 3.3, 3.186363636363636)","(16.0, 290.0, 156.5)","(3.1, 3.35, 3.225)","(14.0, 190.0, 103.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 300.0, 159.75)","(19.0, 300.0, 159.5)","(21.0, 390.0, 204.0)"
