,Apollo One,Salience,Ria,Nullify,Still Waiting,Ms Lucky Leaves,Dewana Success,Dark Krystal
05-01-2023 13:44:56.613710,"(2.5, 3.2, 3.05)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 14.5, 8.825)","(10.0, 19.5, 11.014285714285714)","(12.0, 34.0, 31.2)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:44:57.751589,"(2.5, 3.2, 3.148)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 16.0, 8.825)","(10.0, 19.5, 11.014285714285714)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:44:58.857121,"(2.5, 3.2, 3.09)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.014285714285714)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:44:59.977954,"(2.5, 3.2, 3.09)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.014285714285714)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:01.012430,"(2.5, 3.2, 3.09)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.014285714285714)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:02.074673,"(2.5, 3.2, 3.09)","(5.5, 9.0, 7.0)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.15)","(8.0, 15.5, 8.9)","(10.0, 19.5, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:03.088677,"(2.5, 3.2, 3.09)","(5.5, 9.2, 8.274999999999999)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 5.978571428571428)","(8.0, 15.5, 8.9)","(10.0, 19.0, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:04.128862,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.8125)","(20.0, 55.0, 30.333333333333336)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.0, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:05.235771,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.8125)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.0, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:06.420798,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.8125)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.0, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:07.567216,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.8125)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.0, 14.3)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:08.569514,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.8125)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 15.342857142857143)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:09.618395,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.357142857142858)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:10.679579,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.357142857142858)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:11.825903,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.357142857142858)","(12.0, 34.0, 31.416666666666668)","(9.0, 22.0, 10.479999999999999)"
