,Giuliano,Chloe What,Rowdys Rebel,Homebush Olivia,Opawa Nicky,Mitcham Cam,Princely Asset,Homebush Zip
10-01-2023 08:20:11.076770,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:12.113689,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:13.122698,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:14.115583,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:15.116641,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:16.109239,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:17.131648,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:18.172953,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:19.223691,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:20.306706,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:21.367783,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:22.407061,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:23.423627,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:24.449346,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:25.459854,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:26.458699,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:27.492780,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:28.510161,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:29.524445,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:30.531074,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:31.519988,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:32.513009,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:33.520376,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:34.546054,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:35.601344,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:36.644246,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:37.830708,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:39.143645,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:40.168522,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:41.261448,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:42.327961,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:43.353596,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:44.371625,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:45.437229,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:46.538047,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:47.591249,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:48.673428,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:49.690710,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:50.750420,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:51.734022,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:52.723762,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:53.733526,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:54.779682,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:55.861744,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:56.911788,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:57.909253,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:58.968257,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:20:59.932563,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:00.948796,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:01.985168,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:03.124971,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:04.254239,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:05.376756,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:06.456650,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:07.501208,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
