,In Range,Wild Reputation,Elswyk Rocky,Deadly Express,Udellar Bale,Shanlyn Bear,Gunai Prince,Zipping Spencer
11-01-2023 21:14:04.216372,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 56.81818181818182)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 1.7541176470588236)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:05.240374,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 56.81818181818182)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 1.7541176470588236)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:06.432605,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 56.81818181818182)","(10.0, 26.0, 21.125)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.171111111111111)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:07.581029,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 47.5)","(10.0, 22.0, 21.125)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.171111111111111)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:08.769209,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 47.5)","(10.0, 22.0, 21.125)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.171111111111111)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:09.956833,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 47.5)","(10.0, 22.0, 21.125)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.171111111111111)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:11.056354,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 47.5)","(10.0, 22.0, 21.125)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.171111111111111)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:12.143464,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 22.0, 20.6)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.1695541401273886)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:13.221321,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 27.0, 20.6)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.1695541401273886)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:14.202556,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.1695541401273886)","(18.0, 55.0, 28.81818181818182)"
