,Mt View Bentley,Skys Delight,Dolly Dagger,Urey Bale,Inter Mary
12-01-2023 14:11:58.986864,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:11:59.994748,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:01.034984,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:02.070493,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:03.097105,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:04.174865,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:05.256558,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:06.335500,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:07.389794,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:08.436791,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:09.745021,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:10.769044,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:11.995826,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:12.970849,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:13.992127,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:15.047633,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:16.058498,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:17.041202,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
12-01-2023 14:12:18.067130,"(9.0, 17.5, 16.46666666666667)","(2.5, 3.8, 2.6553846153846155)","(10.0, 21.0, 20.2)","(5.0, 9.2, 5.6)","(2.3, 3.3, 2.3625)"
