,Ben Stars,Bold Smuggler,Ikigai Star,Mias Dream,Aleaco,Doom Diva,Bettalatethannever,Noise Works,Sweet Jina,Azure De Lago,Readyentime,Rose Alice,Cashway
10-01-2023 15:56:32.919890,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.696551724137931)","(14.0, 18.5, 16.944444444444443)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.696969696969697)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:34.599643,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.696551724137931)","(14.0, 18.5, 16.944444444444443)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.696969696969697)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:36.091125,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.696551724137931)","(14.0, 18.5, 16.944444444444443)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.696969696969697)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:37.537760,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.696551724137931)","(14.0, 18.5, 16.944444444444443)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.696969696969697)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:39.027737,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.696551724137931)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:40.491270,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.5600000000000005)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:41.927467,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.5600000000000005)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:56:43.456561,"(14.0, 30.0, 25.5)","(5.5, 8.0, 7.5600000000000005)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:45.007773,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.6000000000000005)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:46.619948,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.6000000000000005)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.722535211267606)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 28.0)","(4.4, 4.9, 4.733333333333333)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:48.244451,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.881818181818182)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:49.844740,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.881818181818182)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:51.314396,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.881818181818182)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:52.850536,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8600000000000003)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:54.335513,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8600000000000003)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:55.949289,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8600000000000003)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:57.533512,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:56:59.117457,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8212121212121213)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
