,Capital Reign,Miss Fox,Not Another Reiby,Goofy Mick,Zains Girl,Command Approved,Suprina,Esteemed Lady,Vegas Raider,Boomsong
11-01-2023 15:53:57.176451,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 9.811650485436894)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:53:58.913060,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.425)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:00.544637,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.425)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:02.082197,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.48544600938967)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:03.612303,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:05.150277,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 40.0)","(9.0, 19.5, 16.07142857142857)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:06.683959,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 82.10526315789474)","(9.0, 19.5, 18.54)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:08.221948,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 82.10526315789474)","(9.0, 19.5, 18.54)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:09.786883,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.156521739130435)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 82.10526315789474)","(9.0, 19.5, 18.54)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:11.303568,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.375)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.2, 4.064285714285714)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 82.10526315789474)","(9.0, 19.5, 18.54)","(8.5, 10.5, 8.98)"
