,Yoha Nz,Brevity,Smooth Overarm Nz,Reactor Factor,Full Brother,Arabella Star,Atomicstar
10-01-2023 15:05:43.119786,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.85, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:44.306533,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:45.505523,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:46.622705,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:47.743874,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:48.832884,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:49.844965,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:50.895259,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:51.886123,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:52.862793,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
10-01-2023 15:05:53.956957,"(101.0, 99999, 99990)","(71.0, 220.0, 187.0)","(4.8, 99999, 99990)","(2.2, 3.75, 3.338)","(4.8, 7.6, 7.06)","(3.8, 6.2, 4.6)","(6.5, 11.0, 7.699999999999999)"
