,Cincinati Cyndie,Queen Of Cakes,Little Ripper,Special Was It,Desleys Girl,Commands Respect,Ticket To Venus
11-01-2023 15:04:17.574037,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 451.0)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:18.704446,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 451.0)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:19.845879,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 451.0)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:21.029460,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:22.193128,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:23.349960,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.6422222222222222)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:24.400030,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:25.505633,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:26.557557,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 468.33333333333337)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
11-01-2023 15:04:27.626394,"(3.7, 6.8, 3.768421052631579)","(61.0, 550.0, 466.66666666666663)","(9.0, 20.0, 19.306666666666665)","(2.6, 4.2, 2.825)","(12.0, 28.0, 26.450000000000003)","(2.5, 3.35, 2.9253333333333336)","(21.0, 95.0, 68.21428571428571)"
