,Zulu Rufus,Awesome Orson,Blink You Lose,Teragram Finale,Robell Magic,King Cujo
10-01-2023 20:11:18.268781,"(31.0, 340.0, 95.0)","(13.0, 60.0, 41.5)","(2.15, 2.64, 2.3640000000000003)","(8.0, 14.5, 13.65)","(2.2, 2.86, 2.3377777777777777)","(7.5, 14.0, 10.225000000000001)"
10-01-2023 20:11:19.273641,"(31.0, 320.0, 91.66666666666666)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.64, 2.3640000000000003)","(8.0, 14.5, 13.65)","(2.2, 2.8, 2.3377777777777777)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:20.250491,"(31.0, 320.0, 91.66666666666666)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.64, 2.3640000000000003)","(8.0, 14.5, 13.65)","(2.2, 2.8, 2.3377777777777777)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:21.159532,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.64, 2.3640000000000003)","(8.0, 14.5, 13.65)","(2.2, 2.8, 2.3377777777777777)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:22.127192,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.8, 2.3377777777777777)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:23.104215,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:24.008905,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:24.957221,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:25.870722,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:26.844708,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:27.816986,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:28.718489,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.391111111111111)","(7.5, 14.5, 10.225000000000001)"
10-01-2023 20:11:29.697905,"(31.0, 340.0, 95.0)","(13.0, 60.0, 43.18181818181819)","(2.15, 2.62, 2.2680000000000002)","(8.0, 14.5, 13.65)","(2.2, 2.78, 2.3699999999999997)","(7.5, 14.5, 10.225000000000001)"
