,Wedding Night,Just One Good One Nz,Looks Just Right,Keayang Sponge Bob,Bella Godiva,Todays Hero,Trioli,Chang,Man Of Action Nz,Tulhurst Cuddles
06-01-2023 13:03:26.823837,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:28.470916,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:30.116408,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:31.557577,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:33.003579,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:34.458001,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:35.964456,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:37.487393,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:39.039000,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
06-01-2023 13:03:40.533980,"(51.0, 99999, 99990)","(5.5, 99999, 99990)","(2.45, 2.68, 2.6637500000000003)","(5.0, 6.8, 6.233333333333333)","(9.0, 17.0, 15.333333333333334)","(21.0, 55.0, 46.142857142857146)","(18.0, 38.0, 27.75)","(61.0, 210.0, 182.0)","(15.0, 99999, 99990)","(4.2, 5.9, 5.300000000000001)"
