,Bandit Butch,Turbulence,Star Present,Start Packing,Nangar Molly,Apollos Fire,Rocking Jewel
09-01-2023 18:14:14.638515,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:15.684815,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:16.841683,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:18.010643,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:19.409488,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:20.492332,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:21.771434,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:22.862831,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 10.214285714285715)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:24.000769,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.05)","(31.0, 230.0, 107.5)"
09-01-2023 18:14:25.129476,"(2.4, 3.5, 2.5817391304347828)","(21.0, 210.0, 77.14285714285714)","(10.0, 19.0, 16.1875)","(3.5, 6.0, 4.1535714285714285)","(3.6, 5.2, 3.84375)","(6.5, 16.0, 11.05)","(31.0, 230.0, 107.5)"
