,Jungle Warrior,Never Compromise,Uncle Jerome,Sir Rockport,Elvirus,Classy Solution,Positive Phil
06-01-2023 12:10:48.513412,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:49.624373,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.75)"
06-01-2023 12:10:50.709845,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:51.719370,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:52.702739,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:53.771396,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:54.930579,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:55.923551,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:56.944411,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:57.951018,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:10:58.986618,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:11:00.024534,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:11:01.074709,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:11:02.164873,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.25)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 16.1)","(2.9, 3.95, 3.59)"
06-01-2023 12:11:03.361204,"(11.0, 27.0, 21.0)","(4.8, 6.0, 5.76)","(26.0, 230.0, 177.25)","(2.7, 6.0, 4.28125)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.59)"
06-01-2023 12:11:04.400936,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.075)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.35)"
06-01-2023 12:11:05.494673,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.075)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.95, 3.6166666666666667)"
06-01-2023 12:11:06.468189,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 4.218181818181819)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:07.483849,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 6.0, 3.7055555555555553)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.6166666666666667)"
06-01-2023 12:11:08.490875,"(11.0, 27.0, 21.2)","(4.8, 6.0, 5.76)","(26.0, 230.0, 187.8)","(2.7, 5.8, 5.407142857142857)","(16.0, 32.0, 23.200000000000003)","(14.0, 19.5, 15.5)","(2.9, 3.9, 3.58)"
