,Mask Up,Magnetism,Sir Maximus,Beauleica,Rojean,Sun Samurai,Millennial Girl,Edgy Era
08-01-2023 14:12:58.251726,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:12:59.289341,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:00.367460,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:01.350426,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:02.350891,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:03.408378,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:04.477677,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:05.521547,"(2.8, 3.4, 3.242105263157895)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:06.586598,"(2.8, 3.6, 3.52125)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:07.622651,"(2.8, 3.6, 3.52125)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:08.680489,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:09.775110,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:10.807615,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:11.846402,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:12.828345,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:13.819066,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:14.834345,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:15.833844,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:16.827663,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:17.972230,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.61123595505618)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:19.123417,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:20.201552,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:21.280045,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:22.415638,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:23.570472,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:24.659366,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:25.723375,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.0)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:26.793782,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:27.836771,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:28.878485,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:29.959955,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:31.022036,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:32.063470,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:33.062184,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:34.108539,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
08-01-2023 14:13:35.152262,"(2.8, 3.6, 3.52)","(9.0, 17.0, 14.75)","(3.9, 4.8, 4.58125)","(3.9, 5.0, 4.785714285714286)","(11.0, 20.0, 18.625)","(21.0, 30.0, 29.625)","(7.5, 11.0, 10.69047619047619)","(20.0, 44.0, 35.0)"
