,Noble Present,Sudden Flare,Treat Me Special,Nannys Mission,Red Lil Shipment,Princess Mia Rose,Blue Bonnie,Great Devotion,Our Golden Colleen,License To Carry
05-01-2023 13:56:12.541139,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 21.25)"
05-01-2023 13:56:13.942335,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 37.75)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 21.25)"
05-01-2023 13:56:15.364037,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:16.910155,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:18.362024,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:19.752218,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 34.05)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:21.188708,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 32.0625)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.71111111111111)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:22.673407,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 32.0625)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.8, 7.522222222222222)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:24.056893,"(15.0, 18.0, 16.666666666666668)","(31.0, 42.0, 39.9)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 35.6)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:25.470307,"(15.0, 18.0, 16.75)","(31.0, 42.0, 34.2)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 45.33333333333333)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:26.802551,"(15.0, 18.0, 16.75)","(31.0, 42.0, 34.2)","(2.4, 4.2, 4.122222222222223)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
05-01-2023 13:56:28.392959,"(15.0, 18.0, 16.75)","(31.0, 42.0, 34.8)","(2.4, 4.2, 4.076923076923077)","(31.0, 38.0, 34.0)","(31.0, 42.0, 27.0)","(13.0, 60.0, 48.875)","(10.0, 30.0, 26.333333333333332)","(2.6, 3.6, 3.425)","(5.0, 7.6, 7.39)","(19.0, 25.0, 20.0)"
