,Azure Pride,Sarsen,Hello Newman,I Am Pearl,Leisure Games,Outa Taormina,Rosato,Whats Up Honey
14-12-2022 13:19:28.304834,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:29.523916,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:30.825996,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:32.171115,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:33.539340,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:34.928828,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:36.143059,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:37.322631,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:38.441112,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:39.634411,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:40.836700,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 146.66666666666669)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:42.081630,"(4.0, 5.6, 5.270588235294118)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 280.0, 143.33333333333334)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:43.380564,"(4.0, 5.6, 5.270588235294118)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 270.0, 143.33333333333334)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:44.644605,"(4.0, 5.6, 5.270588235294118)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 270.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:46.082879,"(4.0, 5.6, 5.270588235294118)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:47.500844,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:48.864884,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:50.521395,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:52.142062,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:53.459614,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 19.428571428571427)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 14.8)"
14-12-2022 13:19:54.791144,"(4.0, 5.6, 5.415384615384615)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 17.18181818181818)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:56.049157,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 21.0, 17.18181818181818)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.825)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:57.286445,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.566666666666666)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:58.480229,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.96153846153846)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:19:59.711096,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.96153846153846)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:01.012070,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.96153846153846)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:02.215309,"(4.0, 5.6, 5.3)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.96153846153846)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:03.512388,"(4.0, 5.6, 5.06)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 16.166666666666668)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:04.836839,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.192307692307693)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:06.130069,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.192307692307693)","(20.0, 50.0, 34.666666666666664)","(101.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:07.484214,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.192307692307693)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:08.738757,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.192307692307693)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:10.048583,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.192307692307693)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 140.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:11.327598,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 170.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:12.599295,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 170.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:13.832274,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 170.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:15.019228,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 170.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:16.431839,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 260.0, 165.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:17.919653,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 250.0, 165.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:19.381188,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 250.0, 160.0)","(6.0, 8.0, 7.8933333333333335)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:20.840605,"(4.0, 5.6, 5.199999999999999)","(5.5, 7.2, 6.9714285714285715)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 160.0)","(6.0, 8.0, 7.851063829787234)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:22.244600,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:23.486401,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 15.0625)"
14-12-2022 13:20:24.681624,"(4.0, 5.6, 5.381818181818182)","(5.5, 7.2, 6.95)","(2.35, 3.05, 2.9816216216216214)","(14.0, 19.5, 17.423076923076923)","(21.0, 50.0, 34.666666666666664)","(91.0, 240.0, 136.66666666666666)","(6.0, 8.0, 7.909090909090909)","(11.0, 15.5, 15.0625)"
