,Yamasaki Bale,Crackerjack Nick,Flash Banner,Denominator,Naughty Shorty,Maximum Gracie
10-01-2023 16:44:07.258859,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:08.404052,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:09.515298,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:10.618675,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:11.803410,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:12.968069,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:14.133362,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:15.161182,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:16.238372,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:17.317506,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:18.423319,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:19.583894,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:20.767586,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:21.887454,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:23.002004,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:24.265090,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:25.456654,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:26.624954,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:27.744808,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:28.794316,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:29.940998,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:31.127669,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:32.156618,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:33.184537,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:34.335456,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:35.492746,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:36.667014,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:37.768575,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:38.862485,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:39.997785,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:41.081848,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
10-01-2023 16:44:42.226702,"(2.3, 3.5, 2.4591304347826086)","(3.4, 3.9, 3.663157894736842)","(4.8, 8.6, 7.04)","(4.4, 7.8, 5.0476190476190474)","(31.0, 210.0, 118.0)","(12.0, 38.0, 28.4375)"
