,Born To Lead,Bonnie Rico,Velocity Justice,Whether To Fly,Royal Look,Boom Boom Harley,Disney Cool,Social Impact
10-01-2023 17:32:41.701431,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:42.961702,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:44.019500,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:45.076741,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:46.104601,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:47.168028,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:48.209639,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:49.315813,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:50.419995,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:51.526948,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:52.577943,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:53.612236,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:54.707003,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:55.752637,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:56.813465,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:57.861687,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
10-01-2023 17:32:58.910745,"(7.5, 99999, 99990)","(1.9, 2.06, 1.9076190476190475)","(81.0, 570.0, 486.66666666666663)","(4.6, 9.6, 6.333333333333334)","(5.0, 12.0, 6.181818181818182)","(4.8, 9.4, 7.866666666666667)","(81.0, 610.0, 521.6666666666666)","(41.0, 340.0, 190.0)"
