,Studleigh Melise,Logan Reason,Limbo Lilly,Oliveira,Lady Rockabellum,Boldino,Mister Manager,Franco Forza,Tough Talks
14-12-2022 19:36:48.445002,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:49.771984,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:51.104025,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:52.368158,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:53.628104,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:54.919069,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:56.388525,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:57.738484,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:36:59.004722,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:00.251967,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:01.460804,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:02.743748,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:04.107049,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:05.456441,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:06.643039,"(2.1, 3.95, 3.841875)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:07.811018,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:09.289626,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:10.672061,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:12.150179,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:13.613533,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:14.874015,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:16.091378,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 32.33333333333333)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:17.382286,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 202.5)","(15.0, 42.0, 24.6)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:18.711116,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:20.079092,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:21.359563,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
14-12-2022 19:37:22.592507,"(2.1, 3.95, 3.29)","(11.0, 18.0, 10.727272727272727)","(11.0, 19.0, 11.95)","(3.7, 7.2, 6.166666666666666)","(61.0, 350.0, 211.17647058823528)","(15.0, 42.0, 23.333333333333336)","(11.0, 19.0, 13.0)","(5.5, 9.2, 7.3999999999999995)","(51.0, 100.0, 56.666666666666664)"
