,Black Roses,Queens Law,Wynburn Dixie,Buckle Up Kaylee,Bridwood Elle,Lektra Linda,Hardaway Nala,Buckle Up Zion
10-01-2023 13:38:51.636341,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 17.625)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:53.001333,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 17.625)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:54.360201,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 17.625)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:55.549720,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 17.625)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:56.772307,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:57.949863,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:38:59.156182,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:00.415508,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:01.686606,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
10-01-2023 13:39:02.847118,"(1.45, 2.18, 1.7546666666666668)","(41.0, 290.0, 72.28571428571428)","(5.5, 12.0, 6.181818181818182)","(13.0, 34.0, 19.666666666666668)","(41.0, 390.0, 172.15384615384616)","(11.0, 27.0, 18.666666666666668)","(12.0, 27.0, 16.0)","(5.5, 10.5, 7.13125)"
