,Corporate Box,So Special,Daytona,Hartley Bale,Van Diemen,Conor Pass,Major Lighting,Dark Label
16-12-2022 15:01:08.116158,"(7.0, 18.0, 9.84)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.2272727272727275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:09.481815,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.2272727272727275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:10.684518,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.2272727272727275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:11.831700,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:12.940120,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:13.982002,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:15.066127,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:16.239065,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:17.256036,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:18.491403,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:19.688928,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:20.788419,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:21.887319,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:22.989453,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:24.120125,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:25.287219,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:26.437335,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.66, 2.275)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:27.628394,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:28.846331,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:30.034163,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:31.216428,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:32.299107,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:33.305645,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:34.282464,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
16-12-2022 15:01:35.307362,"(7.0, 18.0, 14.533333333333333)","(6.0, 9.8, 9.31764705882353)","(1.9, 2.56, 2.2545454545454544)","(7.5, 13.5, 10.84)","(18.0, 140.0, 92.80000000000001)","(21.0, 65.0, 33.72727272727273)","(21.0, 75.0, 53.75)","(4.6, 7.0, 6.4222222222222225)"
