,Moose Ville,Miss Narla,Smile Osti,Slingshot Vinny,Middle Arm,Aussie Sebastian,Fred Flint,Emmas Mate
12-01-2023 18:12:26.319123,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:27.564429,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:28.910679,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:30.195744,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:31.450823,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:32.661725,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:33.902913,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:35.096751,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:36.324464,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
12-01-2023 18:12:37.583346,"(8.5, 16.0, 13.666666666666668)","(5.0, 8.8, 7.875)","(5.5, 9.6, 8.71111111111111)","(26.0, 120.0, 96.5)","(4.6, 10.5, 6.7)","(10.0, 20.0, 18.5)","(2.15, 3.25, 2.900975609756098)","(61.0, 570.0, 300.66666666666663)"
