,Set Us Free,Inordinate,Rebel Racer,Dixie Built,Hollerween,Turin,Black Banjo,Manhattan Sting,Fabiola,Hesontherun,Delightful Hustler,Anything But
10-01-2023 14:42:21.004383,"(13.0, 19.5, 18.3)","(3.4, 5.2, 4.888235294117647)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.9)","(4.6, 4.9, 4.733333333333333)","(31.0, 100.0, 62.66666666666667)","(101.0, 220.0, 175.0)","(10.0, 17.0, 14.5)","(14.0, 20.0, 17.77777777777778)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:23.040718,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.699999999999999)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.9)","(4.6, 4.9, 4.733333333333333)","(31.0, 100.0, 62.66666666666667)","(101.0, 220.0, 175.0)","(10.0, 17.0, 14.5)","(14.0, 20.0, 17.77777777777778)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:24.872703,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.699999999999999)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.9)","(4.6, 4.9, 4.733333333333333)","(31.0, 100.0, 62.66666666666667)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:26.741705,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.9)","(4.6, 4.9, 4.733333333333333)","(31.0, 100.0, 56.75)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:28.661548,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.9)","(4.6, 4.9, 4.733333333333333)","(31.0, 95.0, 64.5)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:31.348691,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.733333333333333)","(31.0, 85.0, 64.5)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:33.218885,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.733333333333333)","(31.0, 85.0, 64.5)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.727272727272727)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:35.154277,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.733333333333333)","(31.0, 85.0, 64.5)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 25.846153846153847)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:37.063588,"(13.0, 19.5, 18.7)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.733333333333333)","(31.0, 85.0, 64.5)","(101.0, 220.0, 175.0)","(9.0, 17.0, 14.5)","(14.0, 20.0, 18.0)","(21.0, 32.0, 26.666666666666668)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:38.823446,"(13.0, 19.5, 17.045454545454547)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 80.0)","(101.0, 220.0, 173.33333333333334)","(9.0, 17.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 32.0, 24.63157894736842)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:40.517748,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 4.833333333333333)","(9.0, 11.5, 11.333333333333334)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 80.0)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 24.63157894736842)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:42.259697,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 4.763157894736842)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 80.0)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:44.070095,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 4.763157894736842)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.772727272727273)","(31.0, 85.0, 54.25)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:45.884398,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 64.5)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:47.607382,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 68.6)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:49.310717,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.757142857142857)","(31.0, 85.0, 67.0625)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:51.070866,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.753571428571428)","(31.0, 85.0, 67.0625)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:52.812904,"(13.0, 18.5, 17.045454545454547)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.753571428571428)","(31.0, 85.0, 67.0625)","(101.0, 200.0, 173.33333333333334)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:54.545258,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.753571428571428)","(31.0, 85.0, 65.6)","(101.0, 200.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:56.265592,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 5.047169811320755)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.753571428571428)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:58.055415,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 5.05)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.753571428571428)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:42:59.838125,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 5.05)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.753571428571428)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:43:01.565820,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 4.75)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.8, 4.798461538461539)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:43:03.308722,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 4.845454545454546)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.798461538461539)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:43:05.426241,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 4.845454545454546)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.798461538461539)","(31.0, 80.0, 65.6)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
10-01-2023 14:43:07.640031,"(13.0, 18.5, 17.02173913043478)","(3.4, 5.1, 4.978260869565217)","(9.0, 11.5, 11.28125)","(10.0, 14.0, 13.375)","(4.8, 6.0, 5.8125)","(4.6, 4.9, 4.798461538461539)","(31.0, 80.0, 50.857142857142854)","(101.0, 190.0, 170.0)","(9.0, 16.0, 14.068965517241379)","(14.0, 20.0, 18.0)","(21.0, 28.0, 25.333333333333332)","(101.0, 200.0, 186.66666666666666)"
