,Abernathy,Cooper Kyran,Immense,Rage Quit,Winkler,Liquor License
06-01-2023 14:18:14.629326,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.09090909090909)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:15.585835,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.0)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:16.540432,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.0)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:17.489617,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.0)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:18.387875,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:19.376245,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:20.384166,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:21.288545,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:22.496178,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:23.453341,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:24.533064,"(2.5, 3.95, 2.597567567567568)","(11.0, 25.0, 22.4)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:25.602323,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:26.602736,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:27.698647,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:28.873467,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:29.914809,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:31.115404,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:32.192739,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:33.117083,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:34.101298,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 18.076923076923077)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:35.105549,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.0)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:36.098577,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 15.0)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:37.078475,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 15.363636363636363)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:38.387171,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:39.326795,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:40.297494,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:41.347401,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:42.409502,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:43.395477,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 8.942857142857143)"
06-01-2023 14:18:44.515901,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 11.0, 7.88)"
06-01-2023 14:18:45.418898,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 6.908333333333333)"
06-01-2023 14:18:46.471526,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 6.908333333333333)"
06-01-2023 14:18:47.591464,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 6.908333333333333)"
06-01-2023 14:18:48.515954,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 16.333333333333332)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 6.908333333333333)"
06-01-2023 14:18:49.599761,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.46153846153846)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 6.908333333333333)"
06-01-2023 14:18:50.555895,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.46153846153846)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 8.433333333333334)"
06-01-2023 14:18:51.634249,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.46153846153846)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 8.433333333333334)"
06-01-2023 14:18:52.692418,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.46153846153846)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 8.433333333333334)"
06-01-2023 14:18:53.797146,"(2.5, 3.95, 2.597567567567568)","(11.0, 27.0, 17.46153846153846)","(5.0, 8.0, 6.166666666666667)","(3.2, 5.5, 3.5714285714285716)","(7.5, 13.5, 11.757142857142856)","(6.5, 12.5, 8.433333333333334)"
