,Louie,Inga Sadie,Wichita Bale,Mohinga Chase,Obsession Agogo,Zipping Diesel,Runnin Riot,Autumn Doll
14-12-2022 14:12:01.479244,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:02.809619,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:03.937219,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:05.017103,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:06.157673,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:07.321786,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:08.425016,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:09.491885,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 5.461538461538462)"
14-12-2022 14:12:10.656138,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
14-12-2022 14:12:11.833276,"(1.85, 2.06, 1.9956)","(31.0, 170.0, 98.0)","(13.0, 36.0, 27.153846153846153)","(7.0, 10.0, 8.875)","(17.0, 50.0, 33.25)","(10.0, 21.0, 13.533333333333333)","(6.5, 13.5, 9.442857142857143)","(4.8, 9.8, 6.3500000000000005)"
