,Gethsemane,Shes Miss Orson,Maddie Odd Sock,Boom Boom Ciao,Aston Cristiano,Aussie Annie,Targan Bale,Persuasion
15-12-2022 14:31:10.625451,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:12.196986,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:13.615525,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:15.085445,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:16.375864,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:17.861946,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:19.531953,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:21.027268,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:22.513410,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:23.955756,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:25.435437,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:26.897513,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:28.264774,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:29.645727,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:31.042235,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:32.401390,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:33.731316,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:35.099313,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:36.461988,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:37.833264,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:39.121645,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:40.527518,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:41.974434,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:43.337973,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:44.813707,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:46.296853,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:47.647445,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:48.924014,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
15-12-2022 14:31:50.128644,"(41.0, 330.0, 181.0)","(12.0, 26.0, 24.636363636363633)","(20.0, 70.0, 46.36363636363637)","(18.0, 60.0, 40.22727272727273)","(4.0, 8.0, 6.526315789473684)","(21.0, 100.0, 50.0)","(2.15, 3.3, 2.6529032258064515)","(3.0, 4.7, 3.4756521739130433)"
