,Pentegra,San Marino,Francine,Pill Box,Zouhope,The Superintendent,California Blaze,Tsushima,Adament,Last Zerprise,Simply Sparklez,Arachnattack
06-01-2023 16:32:30.532813,"(3.8, 4.7, 4.6555)","(12.0, 14.0, 13.333333333333334)","(6.0, 7.4, 7.287272727272727)","(81.0, 140.0, 135.65217391304347)","(19.0, 32.0, 30.607843137254903)","(14.0, 16.0, 15.5)","(26.0, 34.0, 32.0)","(101.0, 170.0, 155.0)","(2.4, 2.74, 2.7258695652173914)","(51.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.225806451612904)","(101.0, 370.0, 334.2857142857143)"
06-01-2023 16:32:32.393971,"(3.8, 4.7, 4.6555)","(12.0, 13.5, 13.36111111111111)","(6.0, 7.4, 7.338)","(81.0, 140.0, 134.73684210526315)","(19.0, 32.0, 30.607843137254903)","(14.0, 16.0, 15.944444444444445)","(26.0, 34.0, 31.81132075471698)","(101.0, 170.0, 157.64705882352942)","(2.4, 2.74, 2.7300000000000004)","(51.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.2)","(101.0, 370.0, 334.2857142857143)"
06-01-2023 16:32:34.060990,"(3.9, 4.6, 4.586301369863014)","(12.0, 13.5, 13.36111111111111)","(6.0, 7.4, 7.338)","(81.0, 140.0, 134.73684210526315)","(19.0, 32.0, 30.607843137254903)","(14.0, 16.0, 15.944444444444445)","(26.0, 34.0, 31.73913043478261)","(101.0, 170.0, 157.64705882352942)","(2.4, 2.74, 2.740416666666667)","(41.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.2)","(101.0, 370.0, 345.0)"
06-01-2023 16:32:35.842691,"(3.9, 4.6, 4.5523255813953485)","(12.0, 13.0, 12.9)","(6.0, 7.4, 7.3500000000000005)","(81.0, 140.0, 134.73684210526315)","(19.0, 32.0, 32.34146341463415)","(14.0, 16.0, 15.77027027027027)","(26.0, 32.0, 31.73913043478261)","(101.0, 170.0, 157.64705882352942)","(2.4, 2.76, 2.7438709677419357)","(41.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.2)","(101.0, 370.0, 334.2857142857143)"
06-01-2023 16:32:37.538216,"(3.9, 4.6, 4.5523255813953485)","(12.0, 13.0, 12.9)","(6.0, 7.4, 7.3914285714285715)","(81.0, 140.0, 134.73684210526315)","(19.0, 34.0, 32.34146341463415)","(13.0, 16.5, 16.102941176470587)","(26.0, 32.0, 32.42424242424242)","(101.0, 170.0, 145.0)","(2.4, 2.76, 2.7545454545454544)","(41.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.2)","(101.0, 370.0, 345.0)"
06-01-2023 16:32:39.285948,"(3.9, 4.5, 4.498305084745763)","(12.0, 13.0, 12.933962264150944)","(6.0, 7.4, 7.353424657534247)","(81.0, 140.0, 122.5)","(19.0, 34.0, 32.33576642335766)","(13.0, 16.5, 16.071428571428573)","(26.0, 34.0, 32.55555555555556)","(101.0, 150.0, 145.23809523809524)","(2.4, 2.76, 2.7784496124031004)","(41.0, 90.0, 87.35294117647058)","(13.0, 21.0, 20.2)","(101.0, 370.0, 334.2857142857143)"
06-01-2023 16:32:40.911567,"(3.8, 4.5, 4.498305084745763)","(11.0, 13.0, 12.647058823529411)","(6.0, 7.4, 7.294857142857143)","(81.0, 130.0, 130.0)","(20.0, 34.0, 32.371428571428574)","(13.0, 16.5, 16.071428571428573)","(26.0, 34.0, 32.3)","(101.0, 150.0, 145.45454545454547)","(2.4, 2.78, 2.791304347826087)","(51.0, 90.0, 85.625)","(13.0, 21.0, 20.314285714285713)","(101.0, 370.0, 345.0)"
06-01-2023 16:32:42.435702,"(3.8, 4.5, 4.498305084745763)","(11.0, 13.0, 12.647058823529411)","(6.0, 7.4, 7.294857142857143)","(81.0, 140.0, 130.0)","(20.0, 34.0, 32.371428571428574)","(13.0, 16.5, 16.071428571428573)","(26.0, 34.0, 32.3)","(101.0, 150.0, 145.45454545454547)","(2.4, 2.8, 2.791304347826087)","(51.0, 95.0, 85.625)","(13.0, 21.0, 20.314285714285713)","(101.0, 370.0, 345.0)"
06-01-2023 16:32:44.005679,"(3.8, 4.5, 4.498305084745763)","(11.0, 13.0, 12.647058823529411)","(6.0, 7.4, 7.294857142857143)","(81.0, 140.0, 130.0)","(20.0, 34.0, 32.371428571428574)","(13.0, 16.5, 16.071428571428573)","(26.0, 34.0, 32.3)","(101.0, 150.0, 145.45454545454547)","(2.4, 2.8, 2.791304347826087)","(51.0, 95.0, 85.625)","(13.0, 21.0, 20.314285714285713)","(101.0, 370.0, 345.0)"
06-01-2023 16:32:45.806682,"(3.8, 4.5, 4.498305084745763)","(11.0, 13.0, 12.647058823529411)","(6.0, 7.4, 7.294857142857143)","(81.0, 140.0, 124.0)","(20.0, 34.0, 32.371428571428574)","(13.0, 16.5, 16.071428571428573)","(26.0, 34.0, 32.35897435897436)","(101.0, 150.0, 145.2173913043478)","(2.4, 2.8, 2.793333333333333)","(51.0, 95.0, 84.375)","(13.0, 21.0, 20.314285714285713)","(101.0, 370.0, 328.3333333333333)"
