,Miracle Mikey,My Maddy,Perseus,Exit Sign,Vlasta Bale,London Berry,Pyrenees Chateau
09-01-2023 10:01:39.449930,"(3.6, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(21.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(6.0, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:40.458921,"(3.6, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(21.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(5.0, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:41.513920,"(3.6, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(21.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(5.0, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:42.528283,"(3.6, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(21.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(5.0, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:43.547579,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:44.602000,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:45.701051,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.433333333333334)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:46.772351,"(3.7, 5.2, 4.52)","(3.1, 6.6, 5.727272727272727)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:47.813318,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:48.906954,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:49.984793,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:51.136918,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:52.265876,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:53.350723,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:54.378453,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:55.497536,"(3.7, 5.2, 4.52)","(3.1, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 8.32)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:56.571356,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:57.603292,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:58.766507,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:01:59.724672,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:00.685628,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:01.670482,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:02.640337,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:03.645722,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:04.645222,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:05.751542,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:06.849002,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:07.925954,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 65.0, 36.875)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:08.997119,"(3.7, 5.2, 4.52)","(3.2, 6.6, 4.5)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:09.993067,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.5)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:10.993514,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.5)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:11.932142,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.5)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:12.888660,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 5.754545454545454)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:13.883846,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 5.856)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.64)","(6.0, 11.0, 7.1)"
09-01-2023 10:02:14.897756,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 7.4)"
09-01-2023 10:02:16.025835,"(3.7, 5.4, 4.5600000000000005)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 43.5)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 7.4)"
09-01-2023 10:02:17.125288,"(3.7, 5.4, 4.5600000000000005)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 43.5)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 9.0125)"
09-01-2023 10:02:18.193056,"(3.7, 5.4, 5.278125)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 9.233333333333334)"
09-01-2023 10:02:19.211483,"(3.7, 5.4, 4.640000000000001)","(3.2, 6.6, 4.566666666666666)","(26.0, 70.0, 38.75)","(7.5, 17.0, 11.514285714285714)","(5.0, 8.0, 5.544444444444444)","(4.2, 10.0, 6.6117647058823525)","(6.0, 11.0, 7.1)"
