,Our Ruby,King Lebron,Acacia Dream,Consumption,Shogun Warlord,Hillbilly Jane,Avery Charm,Better Win
09-01-2023 13:14:42.241155,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:43.359291,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:44.450329,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:45.656293,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:46.794249,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:47.991409,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:49.297869,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:50.520681,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:51.709408,"(1.6, 2.34, 1.6578947368421053)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:52.840997,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:54.016977,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:55.207225,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:56.603885,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:58.058689,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:14:59.229901,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:15:00.505780,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:15:01.658464,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:15:02.808109,"(1.6, 2.34, 1.6448275862068966)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:15:03.943226,"(1.6, 2.34, 1.6854545454545455)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
09-01-2023 13:15:05.059940,"(1.6, 2.34, 1.6854545454545455)","(7.0, 14.5, 9.633333333333333)","(9.0, 19.5, 16.0)","(41.0, 320.0, 117.14285714285714)","(4.4, 8.0, 4.5588235294117645)","(21.0, 100.0, 60.5)","(17.0, 75.0, 49.09090909090909)","(11.0, 28.0, 22.705882352941178)"
