,Alta Magacian Nz,English Dance,Miki Magic,Rockon Allie,Sarasun,Mister Domingo,Whos To Blame
16-12-2022 11:49:56.519917,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:49:58.237723,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:00.057033,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:01.691738,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:03.390045,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:04.847710,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:06.171184,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:07.493294,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 255.71428571428572)"
16-12-2022 11:50:08.888021,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:10.310256,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.733333333333333)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.375)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:12.097592,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.6, 5.3999999999999995)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.416666666666667)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
16-12-2022 11:50:13.441598,"(2.5, 99999, 99990)","(4.8, 5.3, 5.06)","(4.4, 6.0, 5.3999999999999995)","(51.0, 150.0, 115.0)","(3.1, 4.5, 4.416666666666667)","(10.0, 15.0, 12.666666666666666)","(91.0, 280.0, 253.33333333333334)"
