,Wild Dash Zip,Book Book,Cuban Rhythm,Cheers,My Mates Barney,Ayaya,Mia Special,Our Mate Rocco
08-01-2023 18:18:48.316256,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:49.519918,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:50.684799,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:51.808187,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:52.895704,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:53.980739,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:55.305557,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:56.405757,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:57.448384,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:58.530760,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:18:59.578220,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:19:00.657867,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:19:01.765806,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 12.218181818181819)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 46.40625)"
08-01-2023 18:19:02.909083,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 18.0, 14.266666666666666)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 28.727272727272727)"
08-01-2023 18:19:03.984706,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 14.266666666666666)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 28.727272727272727)"
08-01-2023 18:19:05.016718,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 14.266666666666666)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 28.727272727272727)"
08-01-2023 18:19:06.190249,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 14.266666666666666)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:07.411347,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 14.266666666666666)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:08.565173,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:09.708684,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:10.720774,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:11.773314,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:12.836021,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:13.950094,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:15.094611,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:16.198028,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:17.350905,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
08-01-2023 18:19:18.445563,"(3.5, 4.8, 3.99)","(19.0, 46.0, 31.75)","(5.0, 8.4, 6.24)","(3.7, 6.8, 4.471739130434782)","(8.5, 17.5, 13.428571428571429)","(5.0, 10.5, 8.036)","(6.0, 10.5, 9.7)","(18.0, 60.0, 29.090909090909093)"
